"SUBJECTUID","RECORD_DATE_TIME","AGE0","AGE1","AGE2","AGE3","AGE_TEXT","DOB","AGE4","AGE5","AGE6","AGE7","AGE8","AGE9","AGE10","AGE11","AGE12","AGE13","AGE14","AGE15","AGE16","AGE17","AGE18","AGE19","AGE20","AGE21","AGE22","AGE23","AGE24","AGE25"
"TRA-0000002","06/01/1900",8,22,23,24,25,"06/01/1900",24,25,26,27,28,29,20,21,22,23,24,25,26,27,28,29,50,51,52,53,54,55
"TRA-0000003","07/01/1900",9,23,24,25,26,"07/01/1900",25,26,27,28,29,20,21,22,23,24,25,26,27,28,29,50,51,52,53,54,55,56
"TRA-0000005","08/01/1900",21,25,26,27,28,"08/01/1900",27,28,29,20,21,22,23,24,25,26,27,28,29,50,51,52,53,54,55,56,57,58
"TRA-0000006","09/01/1900",22,26,27,28,29,"09/01/1900",28,29,20,21,22,23,24,25,26,27,28,29,50,51,52,53,54,55,56,57,58,59
"TRA-0000007","10/01/1900",23,27,28,29,20,"10/01/1900",29,20,21,22,23,24,25,26,27,28,29,50,51,52,53,54,55,56,57,58,59,40
"TRA-0000008","11/01/1900",24,28,29,20,21,"11/01/1900",20,21,22,23,24,25,26,27,28,29,50,51,52,53,54,55,56,57,58,59,40,41
"TRA-0000009","12/01/1900",25,29,20,21,22,"12/01/1900",21,22,23,24,25,26,27,28,29,50,51,52,53,54,55,56,57,58,59,40,41,42
"TRA-0000010","13/01/1900",26,20,21,22,23,"13/01/1900",22,23,24,25,26,27,28,29,50,51,52,53,54,55,56,57,58,59,40,41,42,43
"TRA-0000011","14/01/1900",27,21,22,23,24,"14/01/1900",23,24,25,26,27,28,29,50,51,52,53,54,55,56,57,58,59,40,41,42,43,44
"TRA-0000012","15/01/1900",28,22,23,24,25,"15/01/1900",24,25,26,27,28,29,50,51,52,53,54,55,56,57,58,59,40,41,42,43,44,45
